,dim,marg_lik,mean_log_pred,rep
0,1.0,-1336.5220211886203,-0.26814200074789757,0.0
1,1.0,-1353.2531346223163,-0.26488094168127246,1.0
2,1.0,-1451.583466835068,-0.24607371958481394,2.0
3,1.0,-1365.371700346699,-0.23048132030055518,3.0
4,1.0,-1412.9939263653996,-0.2617840227204139,4.0
5,2.0,-1581.88666600006,-0.25055812265864225,0.0
6,2.0,-1574.423235415552,-0.25102793215690095,1.0
7,2.0,-1610.5389230261985,-0.2820563129126479,2.0
8,2.0,-1528.039204314834,-0.27002104151527134,3.0
9,2.0,-1591.0795793842362,-0.28043063007501995,4.0
10,3.0,-2001.4784738893832,-0.35628200737545523,0.0
11,3.0,-1996.0690343804395,-0.3269458034243908,1.0
12,3.0,-2014.635823408361,-0.37699521228053867,2.0
13,3.0,-2081.5745357217074,-0.3035563663963873,3.0
14,3.0,-1947.5666871703547,-0.3573058012920349,4.0
15,4.0,-2956.2051211802627,-0.44041367036330703,0.0
16,4.0,-2917.5613156264576,-0.4301172865692725,1.0
17,4.0,-2867.3799295582585,-0.4943195213568305,2.0
18,4.0,-2975.363746898711,-0.4553638679826161,3.0
19,4.0,-2851.106194772453,-0.4228819127568643,4.0
20,5.0,-4101.930522249966,-0.618900915554763,0.0
21,5.0,-4103.086247142415,-0.6433079932262412,1.0
22,5.0,-4085.9444862389687,-0.669789167215657,2.0
23,5.0,-4118.95147939531,-0.645124509467654,3.0
24,5.0,-4104.46792835511,-0.579664175157126,4.0
