dim,rep,num_inducing,marg_lik,mean_log_pred,time,a
1,0,5,-43602.82413580846,-0.9860077771907517,0.27770566940307617,-1.6
1,0,5,-41047.54194739729,-0.9691907997219118,0.2623112201690674,-1.4
1,0,5,-38259.85682454943,-0.9491450835458535,0.25658679008483887,-1.2
1,0,5,-35093.365769564916,-0.9247783795976955,0.2615389823913574,-1.0
1,0,5,-31404.86446841679,-0.8955793154782135,0.2506139278411865,-0.8
1,0,5,-27011.261086649152,-0.8579055996875041,0.264026403427124,-0.6
1,0,5,-21794.973095199035,-0.7927877219364816,0.2659754753112793,-0.4
1,0,5,-16529.257540238366,-0.6442184207834885,0.25989508628845215,-0.2
1,0,5,-15227.396370985618,-0.5293832185706212,0.2668318748474121,0.0
1,0,9,-23295.011406140853,-0.6741299876552195,0.2555863857269287,-1.6
1,0,9,-18724.548260471478,-0.5914691587271993,0.26041483879089355,-1.4
1,0,9,-14973.6143284461,-0.5347049659703884,0.2667355537414551,-1.2
1,0,9,-12101.05531649627,-0.4860807300566581,0.26563596725463867,-1.0
1,0,9,-9699.938578194393,-0.43692560931378704,0.2563493251800537,-0.8
1,0,9,-7580.450746416034,-0.3911647757822718,0.2828841209411621,-0.6
1,0,9,-5987.693712672859,-0.35859525911865764,0.2773854732513428,-0.4
1,0,9,-6123.4044894161125,-0.35712838770056304,0.28328633308410645,-0.2
1,0,9,-12694.713892625216,-0.46617273758257877,0.2602260112762451,0.0
1,0,15,-9157.58730378253,-0.4231931142306106,0.27993321418762207,-1.6
1,0,15,-7896.485903496294,-0.3966073019550517,0.27818799018859863,-1.4
1,0,15,-6792.080552455045,-0.3737211453934824,0.27350521087646484,-1.2
1,0,15,-5801.539882121186,-0.35014118424447804,0.26854968070983887,-1.0
1,0,15,-4962.1510676178805,-0.33117276946061097,0.26476359367370605,-0.8
1,0,15,-4268.673216949217,-0.31350024358111683,0.2754027843475342,-0.6
1,0,15,-3741.432771550455,-0.3009759918486573,0.27871036529541016,-0.4
1,0,15,-4711.976650492492,-0.307919951463295,0.2555227279663086,-0.2
1,0,15,-11836.296234781985,-0.44148233363238526,0.3113548755645752,0.0
1,0,21,-5796.889239430377,-0.3494012003990569,0.2570607662200928,-1.6
1,0,21,-5181.480160188985,-0.33546084982588137,0.25612545013427734,-1.4
1,0,21,-4646.882747612071,-0.3225106821677277,0.2561368942260742,-1.2
1,0,21,-4147.757152533006,-0.30935502099590734,0.2730441093444824,-1.0
1,0,21,-3688.8686468462474,-0.3007843344531575,0.2651486396789551,-0.8
1,0,21,-3345.1199052095326,-0.29474904502060123,0.2545595169067383,-0.6
