,dim,marg_lik,mean_log_pred,num_inducing,rep,time
0,1.0,-5766.913446822607,-1.178356942311906,1.0,0.0,1.7641022205352783
1,1.0,-4122.781629597965,-0.8166071695803467,2.0,0.0,2.303107500076294
2,1.0,-2863.998742587052,-0.5405892731822038,3.0,0.0,3.900254487991333
3,1.0,-1873.8440314546604,-0.3124753222135966,4.0,0.0,4.385244369506836
4,1.0,-1651.9580975987103,-0.3059869977849924,5.0,0.0,5.048194885253906
5,1.0,-3515.2334293864956,-0.6955886340284845,1.0,1.0,1.421212911605835
6,1.0,-3050.658809708669,-0.6001828560764269,2.0,1.0,1.8843803405761719
7,1.0,-2176.875096036317,-0.4029763499460844,3.0,1.0,3.755783796310425
8,1.0,-1812.7656775135015,-0.3496382562214588,4.0,1.0,4.40629768371582
9,1.0,-1751.7557361236059,-0.3429473091489353,5.0,1.0,4.887124538421631
10,1.0,-3872.3265341540537,-0.74677210303207,1.0,2.0,1.6925897598266602
11,1.0,-2868.441395334937,-0.5394158686050798,2.0,2.0,1.9885485172271729
12,1.0,-2053.0598919665326,-0.36533646194762776,3.0,2.0,3.8002026081085205
13,1.0,-1997.9407374207465,-0.3646542625330911,4.0,2.0,4.331223726272583
14,1.0,-1924.5303939971175,-0.3438373797908937,5.0,2.0,4.939080476760864
15,1.0,-6357.660055396418,-1.2915251288118061,1.0,3.0,1.5025663375854492
16,1.0,-4186.276872358048,-0.7972893117941492,2.0,3.0,1.8820767402648926
17,1.0,-2312.159879727369,-0.3769848684272558,3.0,3.0,3.8001720905303955
18,1.0,-1833.6013308488393,-0.31603291394383504,4.0,3.0,4.388622522354126
19,1.0,-1746.4612224554257,-0.2971262044668606,5.0,3.0,4.812433958053589
20,1.0,-7234.7185084968905,-1.4466113014431259,1.0,4.0,1.649165391921997
21,1.0,-4117.532161719806,-0.7664872360903585,2.0,4.0,1.8728702068328857
22,1.0,-2416.8615818755256,-0.3803918814885635,3.0,4.0,3.8507728576660156
23,1.0,-1751.0650839677269,-0.3028498161346916,4.0,4.0,4.37659215927124
24,1.0,-1607.9936652307217,-0.2824586629588896,5.0,4.0,5.0207977294921875
25,2.0,-6045.716762104382,-1.1894390464134992,1.0,0.0,2.649167537689209
26,2.0,-5137.516231048878,-0.9897117868848601,2.0,0.0,3.5870327949523926
27,2.0,-3223.4171096609425,-0.5672867336500306,3.0,0.0,7.322877407073975
28,2.0,-2638.408311179135,-0.46382037152447453,4.0,0.0,8.556736946105957
29,2.0,-2339.108753805225,-0.40172450723283565,5.0,0.0,9.64450740814209
30,2.0,-7118.270337134284,-1.417855999067474,1.0,1.0,3.068880319595337
31,2.0,-4962.456270375878,-0.8690515998194006,2.0,1.0,6.1705286502838135
32,2.0,-4282.474401951915,-0.7342369825319527,3.0,1.0,7.422146797180176
33,2.0,-3072.676253630333,-0.506771217210154,4.0,1.0,8.605490684509277
34,2.0,-2678.5343339362557,-0.4360195000453064,5.0,1.0,9.719271659851074
35,2.0,-5668.966439165637,-1.1415431405976386,1.0,2.0,3.224041223526001
36,2.0,-4397.82469239121,-0.8589005214283221,2.0,2.0,6.133638858795166
37,2.0,-3235.88903577977,-0.593139672178821,3.0,2.0,7.506597995758057
38,2.0,-2664.2117843319133,-0.5032617724466694,4.0,2.0,8.505959510803223
39,2.0,-2491.6457126152404,-0.47396290724369156,5.0,2.0,9.626518487930298
40,2.0,-6583.059521358891,-1.3092688121849643,1.0,3.0,2.7771506309509277
41,2.0,-5202.886131604136,-0.9684259190175311,2.0,3.0,6.253309488296509
42,2.0,-3632.701812543566,-0.6082919743789603,3.0,3.0,7.391452789306641
43,2.0,-2545.7724146287374,-0.42846875039660837,4.0,3.0,8.57564115524292
44,2.0,-2330.5585840387207,-0.3925437140484262,5.0,3.0,9.610907316207886
45,2.0,-5893.722902968656,-1.1736339117100778,1.0,4.0,2.6925323009490967
46,2.0,-5893.879731532276,-1.1736339716274902,2.0,4.0,3.2012417316436768
47,2.0,-3477.1756177608063,-0.5944650243164454,3.0,4.0,7.308415651321411
48,2.0,-3017.7054297640825,-0.5017249558965386,4.0,4.0,8.523200750350952
49,2.0,-2543.7181012496803,-0.4250968598657168,5.0,4.0,9.666461944580078
50,3.0,-7249.64202234974,-1.456876965848539,1.0,0.0,3.932593584060669
51,3.0,-7249.641889696184,-1.4568776786497253,2.0,0.0,4.366694450378418
52,3.0,-7249.641913067264,-1.4568765040545342,3.0,0.0,4.649759292602539
53,3.0,-7249.658960193318,-1.4568642653719106,4.0,0.0,5.433365345001221
54,3.0,-7249.665160751583,-1.4568745057942212,5.0,0.0,5.94428277015686
55,3.0,-9609.453665965595,-1.9199785687425055,1.0,1.0,3.941164016723633
56,3.0,-7189.366285829421,-1.3938543029274528,2.0,1.0,8.365190267562866
57,3.0,-4786.255314761977,-0.8466805024339347,3.0,1.0,12.920563459396362
58,3.0,-4270.113215706107,-0.7468193138557667,4.0,1.0,15.88700532913208
59,3.0,-3995.280367932732,-0.6833104744242906,5.0,1.0,21.39124059677124
60,3.0,-6868.221532673949,-1.3574662123350056,1.0,2.0,4.092123031616211
61,3.0,-6868.221500482563,-1.3574666412104421,2.0,2.0,4.199278116226196
62,3.0,-6868.2219059257495,-1.3574658126568715,3.0,2.0,4.54068398475647
63,3.0,-6868.221143745615,-1.3574594599638923,4.0,2.0,5.319101572036743
64,3.0,-6868.238511452399,-1.3574654118508425,5.0,2.0,5.670368671417236
65,3.0,-7013.591075375077,-1.3869167092582124,1.0,3.0,3.991030693054199
66,3.0,-7013.615120343028,-1.3869175704180607,2.0,3.0,4.209802150726318
67,3.0,-4669.943146963476,-0.8608542338813174,3.0,3.0,13.030450582504272
68,3.0,-4020.8735320087267,-0.719036249540249,4.0,3.0,16.036489486694336
69,3.0,-7013.638157706139,-1.3869082663394734,5.0,3.0,5.774474382400513
70,3.0,-6565.569057635347,-1.2788841486245273,1.0,4.0,4.058665990829468
71,3.0,-6565.600337048448,-1.2788841343316246,2.0,4.0,4.569799423217773
72,3.0,-6565.570603363031,-1.2788839843233688,3.0,4.0,4.618769645690918
73,3.0,-6565.574210482463,-1.2788848547444305,4.0,4.0,5.296066761016846
74,3.0,-6565.587748140611,-1.2788810102358699,5.0,4.0,5.988852500915527
75,4.0,-7740.075541874754,-1.5301748227460108,1.0,0.0,5.159370422363281
76,4.0,-7740.076895646098,-1.5301737829004916,2.0,0.0,5.707616806030273
77,4.0,-7740.077694409827,-1.5301738425133498,3.0,0.0,8.197583198547363
78,4.0,-7740.0780895417,-1.5301737879576554,4.0,0.0,12.302939414978027
79,4.0,-7740.081010522326,-1.5301715645029776,5.0,0.0,22.345563888549805
80,4.0,-7871.658238028905,-1.5398808426326356,1.0,1.0,5.24823260307312
81,4.0,-7871.660440138851,-1.5398778090752443,2.0,1.0,5.76455020904541
82,4.0,-7871.661594902748,-1.5398797437257168,3.0,1.0,7.4571638107299805
83,4.0,-7871.662030912664,-1.5398817761888695,4.0,1.0,12.139406442642212
84,4.0,-7871.663409043517,-1.5398835754596543,5.0,1.0,21.544764757156372
85,4.0,-7665.556040104488,-1.5986894519319004,1.0,2.0,5.166510343551636
86,4.0,-7665.5577897597095,-1.5986863000566016,2.0,2.0,5.9428205490112305
87,4.0,-7665.55986382063,-1.5986893049314816,3.0,2.0,7.369652032852173
88,4.0,-7665.559036490298,-1.598692433227514,4.0,2.0,12.56499981880188
89,4.0,-7665.560866158851,-1.5986927427819324,5.0,2.0,23.856285333633423
90,4.0,-7323.310005965845,-1.471773778747358,1.0,3.0,5.409533739089966
91,4.0,-7323.310972614704,-1.4717739060338804,2.0,3.0,5.632437705993652
92,4.0,-7323.312562697908,-1.4717740857299042,3.0,3.0,7.955443382263184
93,4.0,-7323.3147011505735,-1.4717738703506065,4.0,3.0,11.755824089050293
94,4.0,-7323.31708006507,-1.4717743197865896,5.0,3.0,22.66550612449646
95,4.0,-7670.398426017461,-1.495204064794378,1.0,4.0,5.227756500244141
96,4.0,-7670.431091732085,-1.4952044484857292,2.0,4.0,5.363667249679565
97,4.0,-7670.400112059857,-1.4952046743956762,3.0,4.0,8.176426649093628
98,4.0,-7670.401147730487,-1.495205755760952,4.0,4.0,12.651430606842041
99,4.0,-7670.404546154012,-1.4952041097000648,5.0,4.0,21.97460651397705
100,5.0,-7391.066414177219,-1.4708586418935388,1.0,0.0,6.3721535205841064
101,5.0,-7391.067106486242,-1.470858820318394,2.0,0.0,7.948791742324829
102,5.0,-7391.068004105718,-1.4708587057796505,3.0,0.0,19.448894262313843
103,5.0,-7391.069410276519,-1.4708586190746622,4.0,0.0,74.96156406402588
104,5.0,-7391.072331429572,-1.4708600081420768,5.0,0.0,222.19770741462708
105,5.0,-7040.516869911077,-1.4145700103577614,1.0,1.0,6.5624120235443115
106,5.0,-7040.517500761935,-1.4145697351815152,2.0,1.0,7.611101388931274
107,5.0,-7040.518181639387,-1.4145694543353151,3.0,1.0,19.44143772125244
108,5.0,-7040.519276386205,-1.4145690645105369,4.0,1.0,70.88477730751038
109,5.0,-7040.521760716874,-1.4145693054492572,5.0,1.0,265.9340817928314
110,5.0,-7594.959234689562,-1.5535051600870624,1.0,2.0,6.365661859512329
111,5.0,-7594.960427476996,-1.5535052602731594,2.0,2.0,7.7541749477386475
112,5.0,-7594.960514114647,-1.5535060648687042,3.0,2.0,20.5555100440979
113,5.0,-7594.9628016778315,-1.553506470905678,4.0,2.0,69.53226947784424
114,5.0,-7594.965295931042,-1.5535035529749284,5.0,2.0,233.24556517601013
115,5.0,-7160.356656596751,-1.392553128906207,1.0,3.0,6.626356363296509
116,5.0,-7160.357764656457,-1.3925530308112,2.0,3.0,7.880808353424072
117,5.0,-7160.358117799259,-1.3925526225653353,3.0,3.0,19.96825647354126
118,5.0,-7160.359959896922,-1.3925519257259995,4.0,3.0,70.71315217018127
119,5.0,-7160.3614763368205,-1.3925487850942773,5.0,3.0,249.36809659004211
120,5.0,-7282.430951412535,-1.4527480546707543,1.0,4.0,6.4903998374938965
121,5.0,-7282.431788441421,-1.4527478654010133,2.0,4.0,7.805964946746826
122,5.0,-7282.433536369367,-1.4527479061444126,3.0,4.0,18.865034580230713
123,5.0,-7282.4342651165425,-1.4527482910590808,4.0,4.0,72.4995231628418
124,5.0,-7282.43879731039,-1.4527482358910948,5.0,4.0,220.30189776420593
