dim,rep,num_inducing,marg_lik,mean_log_pred,time
1,0,5,-21090.309179869735,-0.9087499889140679,0.278918981552124
1,0,9,-4670.980866938022,-0.35662005824184145,0.2788355350494385
1,0,15,-3076.9687177380547,-0.2898871946094818,0.2803783416748047
1,0,21,-2786.0965654393585,-0.27306018881135563,0.28281545639038086
1,1,5,-11802.303065319567,-0.5292269627016196,0.27959513664245605
1,1,9,-4616.690141402156,-0.3209283622712676,0.27709078788757324
1,1,15,-3272.582550148116,-0.3053538305598547,0.28626275062561035
1,1,21,-2976.0707158510777,-0.2902542834858908,0.2830381393432617
1,2,5,-12011.964489509613,-0.5089721289775102,0.2776758670806885
1,2,9,-5243.304559630451,-0.3639991039809617,0.2809722423553467
1,2,15,-3135.25113858893,-0.28101422472382687,0.27913475036621094
1,2,21,-2868.2357259815108,-0.2708720116804171,0.28430819511413574
1,3,5,-10409.319317281363,-0.45438553834549,0.27718591690063477
1,3,9,-4436.8988815379125,-0.3444875379931556,0.27850818634033203
1,3,15,-3099.0247988106785,-0.2931784140487898,0.28300952911376953
1,3,21,-2863.0798520746466,-0.2852637280095646,0.28244829177856445
1,4,5,-12388.443403569348,-0.5585404507627734,0.2796292304992676
1,4,9,-4655.711562093762,-0.3207540334470143,0.28423285484313965
1,4,15,-3184.806406505275,-0.25826657135927594,0.27966904640197754
1,4,21,-2956.448408842298,-0.2556620290251563,0.28092193603515625
2,0,9,-47005.04220536067,-1.0217969837241574,0.42632603645324707
2,0,49,-11057.275156835152,-0.5522647815111765,0.4538559913635254
2,0,225,-3921.418917409792,-0.3319664942436232,0.6472785472869873
2,0,441,-3427.9185863373714,-0.30550240772486187,1.0520601272583008
2,0,729,-3269.2134922906116,-0.2944034635374096,1.916673183441162
2,0,1225,-3215.6124481327497,-0.2967096663117735,4.204287052154541
2,0,2025,-3188.9894760605457,-0.29556227991274414,10.502264738082886
2,1,9,-63224.80231928432,-1.1537596310235398,0.42545008659362793
2,1,49,-11497.57609324812,-0.5605575601532202,0.4651336669921875
2,1,225,-3867.5566264921654,-0.29870365632814744,0.6380391120910645
2,1,441,-3354.242643816993,-0.2882244542029706,1.0611279010772705
2,1,729,-3224.902039331464,-0.2880597678362094,1.9100010395050049
2,1,1225,-3174.920806703856,-0.28771402362504184,4.2040464878082275
2,1,2025,-3150.89188904022,-0.288079343882487,10.447251081466675
2,2,9,-58516.17763042482,-1.2120956098556088,0.4339263439178467
2,2,49,-10578.955942039109,-0.5353805292759446,0.4526023864746094
2,2,225,-3798.31817190774,-0.31397347156069705,0.6441910266876221
