dim,rep,num_inducing,marg_lik,mean_log_pred,time,a
1,0,5,-27011.261086649152,-0.8579055996875041,0.26743292808532715,-0.6
1,0,5,-25779.781331874947,-0.8457041068856388,0.27005815505981445,-0.55
1,0,5,-24494.713889888284,-0.8314319584408644,0.2530181407928467,-0.5
1,0,5,-23162.212955905816,-0.8141918604774996,0.2617359161376953,-0.45
1,0,5,-21794.973095199035,-0.7927877219364816,0.26771020889282227,-0.4
1,0,5,-20414.113646943522,-0.7658616522561279,0.2645833492279053,-0.35
1,0,5,-19050.060773476907,-0.732244471860753,0.2614760398864746,-0.3
1,0,5,-17741.120249994405,-0.6914441420035777,0.2604563236236572,-0.25
1,0,5,-16529.257540238366,-0.6442184207834885,0.2627990245819092,-0.2
1,0,5,-15458.637062829512,-0.5935486913242743,0.2635340690612793,-0.15
1,0,5,-14605.459385688337,-0.5465647965975,0.26352620124816895,-0.1
1,0,9,-7580.450746416034,-0.3911647757822718,0.2483229637145996,-0.6
1,0,9,-7121.431744360707,-0.3824555641943507,0.26348257064819336,-0.55
1,0,9,-6703.458562204243,-0.3746846275229644,0.26464271545410156,-0.5
1,0,9,-6325.315660909946,-0.36697817203674243,0.25498461723327637,-0.45
1,0,9,-5987.693712672859,-0.35859525911865764,0.26600146293640137,-0.4
1,0,9,-5710.83669024855,-0.3502240921279915,0.2628598213195801,-0.35
1,0,9,-5561.421625322328,-0.345287797190117,0.2541356086730957,-0.3
1,0,9,-5653.897468041374,-0.34701449875109497,0.2712860107421875,-0.25
1,0,9,-6123.4044894161125,-0.35712838770056304,0.26201510429382324,-0.2
1,0,9,-7103.616360610933,-0.3771114833308757,0.2697110176086426,-0.15
1,0,9,-8650.256948210415,-0.4060478873206481,0.26952099800109863,-0.1
1,0,15,-4268.673216949217,-0.31350024358111683,0.2612793445587158,-0.6
1,0,15,-4102.7998701440665,-0.30885307049809924,0.2591691017150879,-0.55
1,0,15,-3948.1414121203197,-0.305079385649619,0.2736392021179199,-0.5
1,0,15,-3820.883283559422,-0.30244033153385713,0.26267147064208984,-0.45
1,0,15,-3741.432771550455,-0.3009759918486573,0.2603914737701416,-0.4
1,0,15,-3740.283836106304,-0.30044757849574,0.2655599117279053,-0.35
1,0,15,-3858.17700080316,-0.300425459859007,0.24889802932739258,-0.3
1,0,15,-4150.625184726647,-0.30178788956822805,0.26559925079345703,-0.25
1,0,15,-4711.976650492492,-0.307919951463295,0.25930142402648926,-0.2
1,0,15,-5708.4479847248585,-0.32519409238857633,0.25460147857666016,-0.15
1,0,15,-7294.492391567372,-0.35609362055142363,0.26946520805358887,-0.1
1,0,21,-3345.1199052095326,-0.29474904502060123,0.27127766609191895,-0.6
1,0,21,-3269.407918787627,-0.2909255013830616,0.25735044479370117,-0.55
1,0,21,-3208.348545254703,-0.2874076994954777,0.264556884765625,-0.5
1,0,21,-3179.8775964982997,-0.28515106300190873,0.24907493591308594,-0.45
1,0,21,-3197.2216049696726,-0.28427990863960134,0.26319432258605957,-0.4
1,0,21,-3277.510707812202,-0.2848939773132413,0.2579224109649658,-0.35
1,0,21,-3448.09983880035,-0.2853992424872971,0.2615633010864258,-0.3
1,0,21,-3766.055143845144,-0.28652306812656525,0.25220298767089844,-0.25
1,0,21,-4370.3657740748895,-0.2961773159639997,0.25654101371765137,-0.2
1,0,21,-5423.817384730428,-0.3176181219299821,0.25945591926574707,-0.15
1,0,21,-7004.8725527421775,-0.34766161768262316,0.25446510314941406,-0.1
1,1,5,-17726.217846697335,-0.6165669111650013,0.2500114440917969,-0.6
1,1,5,-16847.104864771405,-0.6022152960588218,0.2717430591583252,-0.55
1,1,5,-15971.985010741177,-0.5876967940135669,0.2724449634552002,-0.5
1,1,5,-15121.068349123314,-0.573338693769681,0.25625061988830566,-0.45
1,1,5,-14324.965672619,-0.5596174518209773,0.2470407485961914,-0.4
1,1,5,-13627.740433445651,-0.5471823063695069,0.27197957038879395,-0.35
1,1,5,-13088.984948194666,-0.5368571589212914,0.27115345001220703,-0.3
1,1,5,-12782.699570452962,-0.5295864693426608,0.27324628829956055,-0.25
1,1,5,-12789.283290628104,-0.5262770082646837,0.2627551555633545,-0.2
1,1,5,-13175.607082356313,-0.5275033358912102,0.281341552734375,-0.15
1,1,5,-13957.668002066297,-0.5330899372249994,0.2624092102050781,-0.1
1,1,9,-7801.971050712782,-0.38197155016516826,0.261394739151001,-0.6
1,1,9,-7389.046698097169,-0.37372117067355953,0.2613523006439209,-0.55
1,1,9,-7009.648049936739,-0.36660417127103984,0.2539360523223877,-0.5
1,1,9,-6669.216632152355,-0.36079481637553806,0.25894927978515625,-0.45
1,1,9,-6377.678058710248,-0.3562754753713183,0.26394033432006836,-0.4
1,1,9,-6151.680260816458,-0.3527421828286756,0.2584662437438965,-0.35
1,1,9,-6029.394128623135,-0.3508073841921362,0.2640511989593506,-0.3
1,1,9,-6099.50164089528,-0.35283936435933433,0.259019136428833,-0.25
1,1,9,-6497.407024135362,-0.3614531806439975,0.2540321350097656,-0.2
1,1,9,-7360.081993134067,-0.37869631141358545,0.26080822944641113,-0.15
1,1,9,-8752.563074084552,-0.4049674953220948,0.26792097091674805,-0.1
1,1,15,-4535.320198897287,-0.3223069265995547,0.27092957496643066,-0.6
1,1,15,-4347.221351884851,-0.3195778982909187,0.25076866149902344,-0.55
1,1,15,-4193.413906356072,-0.3182728319759387,0.2536437511444092,-0.5
1,1,15,-4084.4271488557933,-0.3172533399464381,0.25756406784057617,-0.45
1,1,15,-4027.5851263935183,-0.3160425557658213,0.2639453411102295,-0.4
1,1,15,-4044.678244091694,-0.31561320602168697,0.26332616806030273,-0.35
1,1,15,-4177.64891593768,-0.3174231975141048,0.2613248825073242,-0.3
1,1,15,-4488.418985167213,-0.32309087898158,0.26003384590148926,-0.25
1,1,15,-5060.905336599069,-0.33444691580993663,0.2632472515106201,-0.2
1,1,15,-6020.257154448533,-0.3554965207638759,0.24847745895385742,-0.15
1,1,15,-7534.679087124496,-0.3882643474430639,0.25090479850769043,-0.1
1,1,21,-3702.2453972872827,-0.31455796997506746,0.2714107036590576,-0.6
1,1,21,-3650.426992939785,-0.31474298530699535,0.2635979652404785,-0.55
1,1,21,-3603.453486155042,-0.31501654681339486,0.2562522888183594,-0.5
1,1,21,-3571.0335438900293,-0.31544167558293373,0.25852108001708984,-0.45
1,1,21,-3571.725370632652,-0.3159101373005741,0.25918149948120117,-0.4
1,1,21,-3630.8543876808035,-0.31672350077919553,0.25357484817504883,-0.35
1,1,21,-3770.5776797220606,-0.3156669188278132,0.2594611644744873,-0.3
1,1,21,-4021.105387743344,-0.311868951901064,0.26190614700317383,-0.25
1,1,21,-4536.774392604355,-0.3140155169698962,0.25466227531433105,-0.2
1,1,21,-5510.336892762694,-0.32932324144860375,0.2591261863708496,-0.15
1,1,21,-7020.520267605796,-0.35728691807891966,0.26099610328674316,-0.1
1,2,5,-17239.06275831956,-0.582638605055185,0.26195597648620605,-0.6
1,2,5,-16313.197706639483,-0.5656931424151341,0.26183319091796875,-0.55
1,2,5,-15394.089067706387,-0.5484367165758973,0.260845422744751,-0.5
1,2,5,-14502.118123543347,-0.5313451251556993,0.26038503646850586,-0.45
1,2,5,-13668.98624712885,-0.5152095433275921,0.2660176753997803,-0.4
1,2,5,-12941.34710816422,-0.5012158274253005,0.2579519748687744,-0.35
1,2,5,-12383.805021413857,-0.4909468986271844,0.2647237777709961,-0.3
1,2,5,-12079.290264034105,-0.4862432108190068,0.26784491539001465,-0.25
1,2,5,-12123.436415732023,-0.488931144856921,0.25997185707092285,-0.2
1,2,5,-12608.222316423635,-0.5004666742389449,0.2597806453704834,-0.15
1,2,5,-13589.137850442938,-0.5212767956593725,0.270266056060791,-0.1
1,2,9,-8204.268193462252,-0.3957354083156551,0.26469874382019043,-0.6
1,2,9,-7771.567758995494,-0.3875036322489612,0.2588164806365967,-0.55
1,2,9,-7362.881629263669,-0.3803744394680447,0.2635684013366699,-0.5
1,2,9,-6989.05941252035,-0.37452051834262895,0.26946139335632324,-0.45
1,2,9,-6664.638733462176,-0.37008284478832454,0.2594625949859619,-0.4
1,2,9,-6413.16157408998,-0.36743179982502355,0.25177955627441406,-0.35
1,2,9,-6279.027073869649,-0.3676116566426399,0.26961851119995117,-0.3
1,2,9,-6346.462522183247,-0.37261629896637055,0.249312162399292,-0.25
1,2,9,-6744.419820635318,-0.38438862722506684,0.2566657066345215,-0.2
1,2,9,-7613.891355133521,-0.4034852675232513,0.28537774085998535,-0.15
1,2,9,-9030.814116880487,-0.42853946926479386,0.2594625949859619,-0.1
1,2,15,-4805.683992705941,-0.3333646102401335,0.25162196159362793,-0.6
1,2,15,-4595.37478712375,-0.32695031745939346,0.2565948963165283,-0.55
1,2,15,-4369.642135595743,-0.31794600009923796,0.2663426399230957,-0.5
1,2,15,-4131.389280997391,-0.30670113067452165,0.26043081283569336,-0.45
1,2,15,-3919.1214164566336,-0.29741393332013477,0.2671329975128174,-0.4
