dim,rep,num_inducing,marg_lik,mean_log_pred,time
1,0,5,-19050.060773476907,-0.0,0.12611818313598633
1,0,9,-5561.421625322328,-0.0,0.11939740180969238
1,0,21,-3448.09983880035,-0.0,0.1095116138458252
1,0,41,-3163.84507536365,-0.0,0.1305100917816162
1,1,5,-13088.984948194666,-0.0,0.10300278663635254
1,1,9,-6029.394128623135,-0.0,0.11044716835021973
1,1,21,-3770.5776797220606,-0.0,0.12821245193481445
1,1,41,-3286.365286488377,-0.0,0.09566473960876465
1,2,5,-12383.805021413857,-0.0,0.10953187942504883
1,2,9,-6279.027073869649,-0.0,0.11040973663330078
1,2,21,-3472.46003331714,-0.0,0.09603071212768555
1,2,41,-3192.6102228792297,-0.0,0.10526680946350098
1,3,5,-11263.091671941627,-0.0,0.10291433334350586
1,3,9,-5629.166570853675,-0.0,0.10283470153808594
1,3,21,-3453.6967402326773,-0.0,0.12124896049499512
1,3,41,-3217.4763977132825,-0.0,0.09682488441467285
1,4,5,-14488.445371593247,-0.0,0.11516761779785156
1,4,9,-6923.187683385746,-0.0,0.1172635555267334
1,4,21,-3546.392434314861,-0.0,0.10904383659362793
1,4,41,-3302.784568843388,-0.0,0.09777975082397461
2,0,9,-43296.40709587166,-0.0,0.20299553871154785
2,0,49,-13920.574211483647,-0.0,0.21650147438049316
2,0,225,-5642.029734091506,-0.0,0.2169504165649414
2,0,441,-4643.568663729799,-0.0,0.23034167289733887
2,0,729,-4353.369030797425,-0.0,0.2634711265563965
2,0,1225,-4155.700587025385,-0.0,0.36151790618896484
2,0,2025,-4090.595659645718,-0.0,0.6871073246002197
2,1,9,-56660.264089053344,-0.0,0.2224717140197754
2,1,49,-14042.973674697518,-0.0,0.21529865264892578
2,1,225,-5403.390511991514,-0.0,0.2129967212677002
2,1,441,-4583.708788691678,-0.0,0.23239970207214355
2,1,729,-4259.087708333318,-0.0,0.27295494079589844
2,1,1225,-4098.624874996312,-0.0,0.3596224784851074
2,1,2025,-4044.185792232798,-0.0,0.6926741600036621
2,2,9,-53024.83125611715,-0.0,0.22130203247070312
2,2,49,-13247.739773831978,-0.0,0.200514554977417
2,2,225,-5515.768846197971,-0.0,0.22378754615783691
2,2,441,-4536.152251234809,-0.0,0.23061394691467285
2,2,729,-4200.814923629936,-0.0,0.271883487701416
2,2,1225,-4064.575858303884,-0.0,0.3630967140197754
2,2,2025,-4007.6505125175754,-0.0,0.6842851638793945
2,3,9,-47715.505879456134,-0.0,0.22061586380004883
2,3,49,-13080.791399891015,-0.0,0.20982980728149414
2,3,225,-5416.380739602391,-0.0,0.21728730201721191
2,3,441,-4565.97942425681,-0.0,0.22476744651794434
2,3,729,-4292.523454622642,-0.0,0.2781651020050049
