,dim,marg_lik,mean_log_pred,num_inducing,rep,time
0,1.0,-909.0558601696175,-0.2778899127704003,10.0,0.0,0.5671164989471436
1,1.0,-837.9433470053591,-0.2746866755690421,50.0,0.0,0.6642005443572998
2,1.0,-837.7366020075715,-0.2747043284717498,100.0,0.0,1.243757963180542
3,1.0,-837.7143350841361,-0.2747034822586464,200.0,0.0,2.632899284362793
4,1.0,-837.7072908407408,-0.27470376939810537,500.0,0.0,10.983015298843384
5,1.0,-948.4597775747843,-0.2668074536464114,10.0,1.0,0.6089096069335938
6,1.0,-869.7172077448085,-0.25967264611423047,50.0,1.0,0.7000718116760254
7,1.0,-869.479326547058,-0.2596917579029578,100.0,1.0,1.4070868492126465
8,1.0,-869.4561966932724,-0.2596922567168418,200.0,1.0,2.1533257961273193
9,1.0,-869.4485815361586,-0.2596928539763316,500.0,1.0,11.231834411621094
10,1.0,-897.6687634107893,-0.2729793340118545,10.0,2.0,0.6057188510894775
11,1.0,-823.9144925048622,-0.26964197064354767,50.0,2.0,0.6327028274536133
12,1.0,-823.6944213543975,-0.26965758968730946,100.0,2.0,1.0558662414550781
13,1.0,-823.6732624964079,-0.2696569351473601,200.0,2.0,2.0586981773376465
14,1.0,-823.6664730975426,-0.2696575088217097,500.0,2.0,8.71570611000061
15,1.0,-931.4937414768683,-0.2783092213229441,10.0,3.0,0.6332406997680664
16,1.0,-845.9335786909396,-0.2714442158676678,50.0,3.0,0.7836661338806152
17,1.0,-845.7430666825403,-0.2714487518328906,100.0,3.0,1.7631232738494873
18,1.0,-845.7232076006876,-0.27144707491612424,200.0,3.0,3.5247812271118164
19,1.0,-845.7167285935375,-0.2714468134798416,500.0,3.0,8.115102529525757
20,1.0,-982.6985721374112,-0.28614991215741736,10.0,4.0,0.6005346775054932
21,1.0,-883.1526479171589,-0.2711587075048756,50.0,4.0,0.7996747493743896
22,1.0,-882.9409645402666,-0.2710969523532692,100.0,4.0,1.126403570175171
23,1.0,-882.9197012662498,-0.2710962984100853,200.0,4.0,2.6126909255981445
24,1.0,-882.9126690688099,-0.2710959665904968,500.0,4.0,7.616012096405029
25,2.0,-4731.916431661681,-0.5710947207240362,10.0,0.0,0.893796443939209
26,2.0,-1265.1054073839623,-0.3031574171004461,50.0,0.0,1.4791884422302246
27,2.0,-1055.8464303072942,-0.297076220718307,100.0,0.0,7.290794610977173
28,2.0,-1014.7422279423408,-0.2962258037295052,200.0,0.0,34.11127829551697
