dim,rep,num_inducing,marg_lik,mean_log_pred,time
1,0,5,-24494.713889888284,-0.8314319584408644,0.27028536796569824
1,0,9,-6703.458562204243,-0.3746846275229644,0.27335381507873535
1,0,15,-3948.1414121203197,-0.305079385649619,0.2604975700378418
1,0,21,-3208.348545254703,-0.2874076994954777,0.27402377128601074
1,1,5,-15971.985010741177,-0.5876967940135669,0.26914381980895996
1,1,9,-7009.648049936739,-0.36660417127103984,0.2693755626678467
1,1,15,-4193.413906356072,-0.3182728319759387,0.26271533966064453
1,1,21,-3603.453486155042,-0.31501654681339486,0.2536909580230713
1,2,5,-15394.089067706387,-0.5484367165758973,0.2568075656890869
1,2,9,-7362.881629263669,-0.3803744394680447,0.2673325538635254
1,2,15,-4369.642135595743,-0.31794600009923796,0.2626616954803467
1,2,21,-3280.79290798874,-0.28429558742644734,0.2542896270751953
1,3,5,-14049.034473664273,-0.5295964446240078,0.25314879417419434
1,3,9,-6636.084085437411,-0.3747626471951542,0.27153801918029785
1,3,15,-3969.757264801374,-0.3226781687575528,0.26327991485595703
1,3,21,-3255.1388686125865,-0.2983330166193281,0.2579784393310547
1,4,5,-18316.439317971395,-0.6317981966909328,0.2653498649597168
1,4,9,-8288.503559263067,-0.44374661916374736,0.2504920959472656
1,4,15,-4551.480938799694,-0.3316859970676608,0.26038169860839844
1,4,21,-3340.282272780787,-0.25800177342408437,0.2678208351135254
2,0,9,-48486.89082068012,-1.0187039412978474,0.4768989086151123
2,0,49,-17956.400237371134,-0.6391732055454391,0.4852480888366699
2,0,225,-6089.127072758543,-0.41151748533535853,0.4976663589477539
2,0,441,-4303.971110729923,-0.3477023200616135,0.5586857795715332
2,0,729,-3770.462783281844,-0.32501383197868483,0.6452021598815918
2,0,1225,-3495.161339864877,-0.30972159381169156,0.9140608310699463
2,0,2025,-3326.4680207214406,-0.2979515596661411,1.7471141815185547
2,1,9,-62823.62435077866,-1.1916014466339429,0.49271178245544434
2,1,49,-18460.591415342053,-0.6458829157722982,0.4979712963104248
2,1,225,-5769.901810312818,-0.37063868237368863,0.504941463470459
2,1,441,-4188.062902316822,-0.307008501306152,0.5575976371765137
2,1,729,-3710.8825595681265,-0.2937448769762867,0.6389672756195068
2,1,1225,-3407.4651647183928,-0.2876216166602602,0.905754566192627
2,1,2025,-3277.2197791603103,-0.28936424292345053,1.747781753540039
2,2,9,-57785.28684324186,-1.15237509399117,0.49584364891052246
2,2,49,-17220.03737981232,-0.6292685689252189,0.4937324523925781
2,2,225,-5661.819740450403,-0.3801832591546809,0.4995851516723633
2,2,441,-4198.170361542623,-0.32552685868835557,0.534121036529541
2,2,729,-3646.92008929274,-0.30992078912302257,0.6495406627655029
2,2,1225,-3336.00613661651,-0.3016321260823855,0.9131150245666504
2,2,2025,-3221.0925770726026,-0.29630860545664983,1.7512850761413574
2,3,9,-51806.311331492514,-1.0378252612263021,0.46919775009155273
2,3,49,-18126.674154908796,-0.6288182663171559,0.49839329719543457
2,3,225,-5659.671390697942,-0.3691969003065226,0.49864864349365234
2,3,441,-4192.981278926993,-0.3206596300584777,0.5544357299804688
2,3,729,-3695.6926943369326,-0.2997270821348858,0.6347837448120117
2,3,1225,-3451.5032781145346,-0.2972831310473515,0.9061481952667236
2,3,2025,-3331.610516535431,-0.29274524901959637,1.7446105480194092
2,4,9,-58769.24765877651,-1.141129552028322,0.47252893447875977
2,4,49,-18428.091156993505,-0.6558838971575496,0.4927690029144287
2,4,225,-5861.3925963686925,-0.4033260234753626,0.5068986415863037
2,4,441,-4288.440123591317,-0.3591843344275629,0.545994758605957
2,4,729,-3673.0389451775773,-0.3312999840121648,0.6425886154174805
2,4,1225,-3395.097512353721,-0.3068774346512355,0.9111111164093018
2,4,2025,-3284.375004995454,-0.3031087938558718,1.767040491104126
3,0,27,-65685.42149042102,-1.1654734992937366,0.7163324356079102
3,0,125,-40634.39166126853,-0.9366424989249854,0.7245509624481201
3,0,343,-25416.934051407625,-0.7535338307760603,0.745126485824585
3,0,729,-16835.573193850796,-0.6002148905842565,0.8743345737457275
3,0,1331,-12324.09224333198,-0.502404741653548,1.2270159721374512
3,0,2197,-9555.82194091261,-0.4369216498202511,2.286473512649536
3,1,27,-71926.94212857437,-1.2148853598081177,0.7297482490539551
3,1,125,-40967.21794805648,-0.929989003634787,0.7157771587371826
3,1,343,-25382.448795315577,-0.7502052456150704,0.748185396194458
3,1,729,-17314.047643998114,-0.6241797540529193,0.8672635555267334
3,1,1331,-12392.79793830507,-0.5368170877970396,1.2208645343780518
3,1,2197,-9642.776310411246,-0.4778262335353365,2.233588933944702
3,2,27,-70699.8768309664,-1.2231477034323506,0.7051186561584473
3,2,125,-41426.75416865888,-0.9613549502331054,0.7403109073638916
3,2,343,-26089.93305546642,-0.7785883713420794,0.7413163185119629
3,2,729,-17553.58577881236,-0.6571905929718014,0.859154462814331
3,2,1331,-12682.098909044937,-0.5665851265564859,1.228123664855957
3,2,2197,-9807.036503870913,-0.5000553071304816,2.262233018875122
3,3,27,-64446.4161084232,-1.1526379202943544,0.7102503776550293
3,3,125,-39875.435059419,-0.9328236038196994,0.7285759449005127
3,3,343,-24474.796546099686,-0.7409975315830276,0.7642545700073242
3,3,729,-16563.865342589503,-0.6102178311635983,0.8880295753479004
3,3,1331,-12324.96173500258,-0.5366341720485596,1.2178800106048584
3,3,2197,-9787.720157935422,-0.48816941516781603,2.256586790084839
3,4,27,-69118.50491729025,-1.260457899144849,0.7021291255950928
3,4,125,-41264.28394373684,-0.997850374901218,0.7105281352996826
3,4,343,-25883.115709266225,-0.7981900328800384,0.7525334358215332
3,4,729,-17461.689794378348,-0.6693082959572119,0.8552677631378174
3,4,1331,-12822.590382027352,-0.5912908408181539,1.2190637588500977
3,4,2197,-10003.754340615873,-0.5174925092918056,2.2505269050598145
4,0,81,-78262.50742350605,-1.2535927667527358,0.9185075759887695
4,0,625,-52318.33961604591,-1.0512196498957198,1.0607354640960693
4,0,2401,-33452.89441299121,-0.8571050509826977,2.8188161849975586
4,0,6561,-23148.775799325464,-0.7258759379182278,23.000996828079224
4,1,81,-81963.32289201359,-1.31347477992638,1.0027880668640137
4,1,625,-53674.62440992015,-1.0868792712085797,1.0829119682312012
